quarter,index
2007-Q1,75.8
2007-Q2,78.1
2007-Q3,83.2
2007-Q4,88
2008-Q1,91.3
2008-Q2,95.4
2008-Q3,99.4
2008-Q4,100.8
2009-Q1,100
2009-Q2,101.4
2009-Q3,105
2009-Q4,109
2010-Q1,112.1
2010-Q2,116.6
2010-Q3,121.3
2010-Q4,124.4
2011-Q1,126.4
2011-Q2,130.4
2011-Q3,135.4
2011-Q4,137.7
2012-Q1,138.5
2012-Q2,140.3
2012-Q3,143.1
2012-Q4,146.7
2013-Q1,148.6
2013-Q2,149.4
2013-Q3,148.1
2013-Q4,145.8
2014-Q1,143.5
2014-Q2,141.5
2014-Q3,139.1
2014-Q4,137
2015-Q1,135.6
2015-Q2,135
2015-Q3,134.6
2015-Q4,134.8
2016-Q1,134.7
2016-Q2,134.7
2016-Q3,134.7
2016-Q4,134.6
2017-Q1,133.9
2017-Q2,133.7
2017-Q3,132.8
2017-Q4,132.6
2018-Q1,131.6
2018-Q2,131.7
